pos,stat,channel,pair,n,r,slope,w_prior_neutral,w_prior_mean,partial_r
WR,receptions,man,2022->2023,32,0.407,0.3958,0.3958,0.3958,0.4685
WR,receptions,zone,2022->2023,32,0.2997,0.3449,0.3449,0.3449,0.3456
WR,receptions,broad,2023->2024,32,0.0824,0.0577,0.0578,0.0577,
WR,receptions,slot,2023->2024,32,0.2807,0.2283,0.2283,0.2283,0.3149
WR,receptions,wide,2023->2024,32,0.0919,0.0652,0.0652,0.0652,0.2933
WR,receptions,man,2023->2024,32,0.3775,0.409,0.4089,0.4089,0.4363
WR,receptions,zone,2023->2024,32,0.2998,0.2628,0.2627,0.2627,0.4414
WR,receptions,broad,2024->2025,32,-0.0524,-0.0635,-0.0634,-0.0635,
WR,receptions,slot,2024->2025,32,-0.2541,-0.2154,-0.2154,-0.2154,-0.0533
WR,receptions,wide,2024->2025,32,0.0963,0.1137,0.1138,0.1137,-0.1114
WR,receptions,man,2024->2025,32,0.2632,0.2564,0.2565,0.2564,0.2771
WR,receptions,zone,2024->2025,32,0.2477,0.2369,0.2369,0.2369,0.3262
WR,receptions,broad,POOLED,96,0.1662,0.1619,0.1619,0.1619,
WR,receptions,slot,POOLED,96,0.0791,0.0773,0.0773,0.0773,0.0809
WR,receptions,wide,POOLED,96,0.1574,0.152,0.1521,0.152,0.0685
WR,receptions,man,POOLED,96,0.3462,0.3493,0.3493,0.3492,0.3898
WR,receptions,zone,POOLED,96,0.2824,0.2795,0.2795,0.2795,0.3681
WR,yards,broad,2022->2023,32,0.3102,0.361,0.3612,0.361,
WR,yards,slot,2022->2023,32,0.1386,0.1555,0.1555,0.1555,0.118
WR,yards,wide,2022->2023,32,0.2947,0.3249,0.325,0.3249,0.1423
WR,yards,man,2022->2023,32,0.4561,0.4226,0.4226,0.4226,0.4184
WR,yards,zone,2022->2023,32,0.2133,0.2452,0.2453,0.2452,0.2878
WR,yards,broad,2023->2024,32,0.0854,0.0545,0.0546,0.0545,
WR,yards,slot,2023->2024,32,0.1659,0.1231,0.1231,0.1231,0.3112
WR,yards,wide,2023->2024,32,0.1826,0.1265,0.1265,0.1265,0.28
WR,yards,man,2023->2024,32,0.4014,0.4337,0.4337,0.4336,0.4768
WR,yards,zone,2023->2024,32,0.2133,0.1734,0.1734,0.1734,0.3927
WR,yards,broad,2024->2025,32,0.0116,0.0161,0.0162,0.0161,
WR,yards,slot,2024->2025,32,-0.1861,-0.245,-0.245,-0.245,-0.034
WR,yards,wide,2024->2025,32,0.1381,0.1639,0.1641,0.1639,-0.0577
WR,yards,man,2024->2025,32,0.1438,0.1427,0.1428,0.1427,0.1736
WR,yards,zone,2024->2025,32,0.2636,0.2883,0.2883,0.2883,0.1503
WR,yards,broad,POOLED,96,0.1514,0.1527,0.1528,0.1527,
WR,yards,slot,POOLED,96,0.0461,0.0476,0.0477,0.0476,0.1332
WR,yards,wide,POOLED,96,0.212,0.2052,0.2053,0.2052,0.131
WR,yards,man,POOLED,96,0.3286,0.3279,0.3279,0.3279,0.3564
WR,yards,zone,POOLED,96,0.2257,0.2273,0.2273,0.2273,0.2805
TE,targets,broad,2022->2023,32,0.1672,0.1598,0.1597,0.1597,
TE,targets,slot,2022->2023,32,-0.0667,-0.0505,-0.0508,-0.0505,0.0874
TE,targets,wide,2022->2023,32,0.3451,0.3723,0.3723,0.3723,0.1167
TE,targets,man,2022->2023,32,0.6303,0.6373,0.637,0.637,0.5277
TE,targets,zone,2022->2023,32,0.033,0.0295,0.0294,0.0295,0.3047
TE,targets,broad,2023->2024,32,0.2964,0.3312,0.3311,0.3312,
TE,targets,slot,2023->2024,32,0.2868,0.3649,0.364,0.3637,0.0415
TE,targets,wide,2023->2024,32,0.0211,0.0191,0.0191,0.0191,-0.0072
TE,targets,man,2023->2024,32,0.3245,0.2872,0.2872,0.2872,0.4662
TE,targets,zone,2023->2024,32,0.5323,0.6293,0.6286,0.6285,0.3542
TE,targets,broad,2024->2025,32,0.2774,0.3347,0.3346,0.3346,
TE,targets,slot,2024->2025,32,0.023,0.0183,0.0182,0.0182,0.0506
TE,targets,wide,2024->2025,32,0.2037,0.2134,0.2133,0.2133,-0.0918
TE,targets,man,2024->2025,32,0.397,0.4766,0.4765,0.4764,0.4843
TE,targets,zone,2024->2025,32,0.5386,0.5076,0.5077,0.5076,0.4874
TE,targets,broad,POOLED,96,0.2506,0.2763,0.2763,0.2763,
TE,targets,slot,POOLED,96,0.0765,0.0699,0.0699,0.0699,0.0624
TE,targets,wide,POOLED,96,0.1904,0.1918,0.1918,0.1918,0.0227
TE,targets,man,POOLED,96,0.4527,0.4649,0.4648,0.4648,0.4927
TE,targets,zone,POOLED,96,0.3772,0.3765,0.3765,0.3765,0.3747
TE,receptions,broad,2022->2023,32,0.1959,0.1558,0.1557,0.1557,
TE,receptions,slot,2022->2023,32,-0.1581,-0.1289,-0.1291,-0.1288,-0.0744
TE,receptions,wide,2022->2023,32,0.3538,0.3473,0.3475,0.3473,0.0501
TE,receptions,man,2022->2023,32,0.4986,0.5111,0.5112,0.5111,0.3942
TE,receptions,zone,2022->2023,32,0.0535,0.0424,0.0423,0.0424,0.3317
TE,receptions,broad,2023->2024,32,0.2914,0.3496,0.3493,0.3493,
TE,receptions,slot,2023->2024,32,0.2256,0.2377,0.2369,0.2366,0.0355
TE,receptions,wide,2023->2024,32,-0.0188,-0.0188,-0.0188,-0.0188,-0.1438
TE,receptions,man,2023->2024,32,0.1928,0.1691,0.1694,0.1691,0.3564
TE,receptions,zone,2023->2024,32,0.5322,0.715,0.7141,0.7137,0.2631
TE,receptions,broad,2024->2025,32,0.3258,0.3544,0.3543,0.3543,
TE,receptions,slot,2024->2025,32,0.1165,0.1,0.1001,0.0998,-0.0347
TE,receptions,wide,2024->2025,32,0.1549,0.1445,0.1445,0.1445,-0.1019
TE,receptions,man,2024->2025,32,0.498,0.5675,0.5672,0.5672,0.5759
TE,receptions,zone,2024->2025,32,0.4867,0.4599,0.46,0.4599,0.466
TE,receptions,broad,POOLED,96,0.2709,0.2749,0.2749,0.2749,
TE,receptions,slot,POOLED,96,0.0471,0.0424,0.0426,0.0424,-0.0333
TE,receptions,wide,POOLED,96,0.1645,0.16,0.1601,0.16,-0.0573
TE,receptions,man,POOLED,96,0.3979,0.4013,0.4014,0.4013,0.4367
TE,receptions,zone,POOLED,96,0.3659,0.3669,0.3669,0.3669,0.3502
TE,yards,broad,2022->2023,32,0.3133,0.1881,0.188,0.188,
TE,yards,slot,2022->2023,32,-0.0249,-0.022,-0.0221,-0.022,0.0576
TE,yards,wide,2022->2023,32,0.2236,0.1879,0.188,0.1879,0.0149
TE,yards,man,2022->2023,32,0.477,0.4833,0.4837,0.4833,0.4365
TE,yards,zone,2022->2023,32,0.2178,0.1888,0.1887,0.1887,0.2559
TE,yards,broad,2023->2024,32,0.1028,0.1587,0.1584,0.1585,
TE,yards,slot,2023->2024,32,0.1561,0.1851,0.1849,0.1839,0.0878
TE,yards,wide,2023->2024,32,0.061,0.062,0.0619,0.062,0.017
TE,yards,man,2023->2024,32,0.1655,0.1697,0.1702,0.1697,0.3086
TE,yards,zone,2023->2024,32,0.334,0.4204,0.4201,0.42,0.1759
TE,yards,broad,2024->2025,32,0.1796,0.2022,0.2022,0.2021,
TE,yards,slot,2024->2025,32,-0.1544,-0.1355,-0.1341,-0.1351,-0.2038
TE,yards,wide,2024->2025,32,0.1804,0.1821,0.182,0.182,0.0387
TE,yards,man,2024->2025,32,0.3846,0.4561,0.4559,0.4559,0.514
TE,yards,zone,2024->2025,32,0.3641,0.3894,0.3895,0.3893,0.4389
TE,yards,broad,POOLED,96,0.185,0.1887,0.1887,0.1887,
TE,yards,slot,POOLED,96,-0.0101,-0.0098,-0.0089,-0.0098,0.0016
TE,yards,wide,POOLED,96,0.1581,0.1496,0.1497,0.1496,0.0203
TE,yards,man,POOLED,96,0.3427,0.3702,0.3704,0.3702,0.4207
TE,yards,zone,POOLED,96,0.3105,0.3291,0.3291,0.3291,0.2707
